lemma,genus,nominativ plural
"0,2-Liter-Flasche",f,"0,2-Liter-Flaschen"
"0,33-Liter-Flasche",f,"0,33-Liter-Flaschen"
"0,5-Liter-Flasche",f,"0,5-Liter-Flaschen"
"0,7-Liter-Flasche",f,"0,7-Liter-Flaschen"
"0,75-Liter-Flasche",f,"0,75-Liter-Flaschen"
"1,2,3-Propentricarbonsäure",f,
"1,2-Benzoldicarbonsäure",f,
"1,2-Dihydroxypropan",n,
"1,2-Propandiol",n,
"1,2-Propylenglycol",n,
"1,4-Benzoldicarbonsäure",f,
"1,4-Butandiol",n,
"1,6-Liter-Benziner",m,"1,6-Liter-Benziner"
1-Benzolethansäure,f,
1-Butanol,n,
1-Cent-Münze,f,1-Cent-Münzen
1-Cent-Stück,n,1-Cent-Stücke
1-Dodecanol,n,
1-Euro-Job,m,1-Euro-Jobs
1-Euro-Jobber,m,1-Euro-Jobber
1-Euro-Münze,f,1-Euro-Münzen
1-Euro-Stück,n,1-Euro-Stücke
1-Hexanol,n,
1-Pentanol,n,
1-Raum-Wohnung,f,1-Raum-Wohnungen
1-Zimmer-Wohnung,f,1-Zimmer-Wohnungen
1. Johannesbrief,m,
1. Korintherbrief,m,
1. Petrusbrief,m,
1. Thessalonicherbrief,m,
1. Timotheusbrief,m,
1. Weltkrieg,m,
10-Cent-Münze,f,10-Cent-Münzen
10-Cent-Stück,n,10-Cent-Stücke
10-Euro-Schein,m,10-Euro-Scheine
10-Franken-Note,f,10-Franken-Noten
10-Franken-Schein,m,10-Franken-Scheine
10-Mark-Schein,m,10-Mark-Scheine
10-Pfennig-Stück,n,10-Pfennig-Stücke
10-Uhr-Vorstellung,f,10-Uhr-Vorstellungen
10-Uhr-Zug,m,10-Uhr-Züge
100-Euro-Schein,m,100-Euro-Scheine
100-Franken-Note,f,100-Franken-Noten
100-Franken-Schein,m,100-Franken-Scheine
100-Mark-Schein,m,100-Mark-Scheine
1000-Franken-Note,f,1000-Franken-Noten
1000-Franken-Schein,m,1000-Franken-Scheine
1000-Mark-Schein,m,1000-Mark-Scheine
102-Jährige,f,
102-Jähriger,m,
11. September,m,
"2,3,4,5,6-Pentahydroxyhexansäure",f,
"2,3-Dihydroxybernsteinsäure",f,
"2,3-Dihydroxybutandisäure",f,
"2,4,6-Trihydroxypyrimidin",n,
"2,4,6-Trinitrophenol",n,
"2,6,8-Trihydroxypurin",n,
2-Acetoxybenzoesäure,f,
2-Amino-3-methylbutansäure,f,
2-Aminobutandisäure,f,
2-Aminoisovaleriansäure,f,
2-Butanon,n,
2-Butin,n,
2-Cent-Münze,f,2-Cent-Münzen
2-Cent-Stück,n,2-Cent-Stücke
2-Euro-Münze,f,2-Euro-Münzen
2-Euro-Stück,n,2-Euro-Stücke
2-Hexanol,n,
2-Hydroxybenzoesäure,f,
2-Hydroxypropansäure,f,
2-Mark-Schein,m,2-Mark-Scheine
2-Methyl-1-propanol,n,
2-Methyl-2-propanol,n,
2-Oxopropansäure,f,
2-Propanol,n,
2-Propen-1-ol,n,
2-Propenal,n,
2-Propenol,n,
2. Johannesbrief,m,
2. Korintherbrief,m,
2. Petrusbrief,m,
2. Thessalonicherbrief,m,
2. Timotheusbrief,m,
2. Weltkrieg,m,
20-Cent-Münze,f,20-Cent-Münzen
20-Cent-Stück,n,20-Cent-Stücke
20-Euro-Schein,m,20-Euro-Scheine
20-Franken-Note,f,20-Franken-Noten
20-Franken-Schein,m,20-Franken-Scheine
20-Mark-Schein,m,20-Mark-Scheine
200-Euro-Schein,m,200-Euro-Scheine
200-Franken-Note,f,200-Franken-Noten
200-Franken-Schein,m,200-Franken-Scheine
200-Mark-Schein,m,200-Mark-Scheine
24-Stunden-Rennen,n,24-Stunden-Rennen
"3,4,5-Trihydroxybenzoesäure",f,
3-D-Drucker,m,3-D-Drucker
3-Hexanol,n,
3-Phenylacrylsäure,f,
3-Uhr-Vorstellung,f,3-Uhr-Vorstellungen
3-Uhr-Zug,m,3-Uhr-Züge
3. Johannesbrief,m,
30-jähriger Krieg,m,
4-Amino-1-benzolsulfonsäure,f,
4-Aminobutansäure,f,
4-Hydroxybutansäure,f,
40-Stunden-Woche,f,40-Stunden-Wochen
400-Euro-Job,m,400-Euro-Jobs
400-Euro-Jobber,m,400-Euro-Jobber
450-Euro-Job,m,450-Euro-Jobs
46-Jähriger,m,
5-Cent-Münze,f,5-Cent-Münzen
5-Cent-Stück,n,5-Cent-Stücke
5-Euro-Schein,m,5-Euro-Scheine
5-Mark-Schein,m,5-Mark-Scheine
5-Minuten-Takt,m,
5-Uhr-Vorstellung,f,5-Uhr-Vorstellungen
5-Uhr-Zug,m,5-Uhr-Züge
50-Cent-Münze,f,50-Cent-Münzen
50-Cent-Stück,n,50-Cent-Stücke
50-Euro-Schein,m,50-Euro-Scheine
50-Franken-Note,f,50-Franken-Noten
50-Franken-Schein,m,50-Franken-Scheine
50-Mark-Schein,m,50-Mark-Scheine
500-Euro-Schein,m,500-Euro-Scheine
500-Mark-Schein,m,500-Mark-Scheine
59-Jähriger,m,
6-Uhr-Vorstellung,f,6-Uhr-Vorstellungen
6-Uhr-Zug,m,6-Uhr-Züge
60-Sekunden-Takt,m,
7-Uhr-Vorstellung,f,7-Uhr-Vorstellungen
7-Uhr-Zug,m,7-Uhr-Züge
8-Stunden-Tag,m,8-Stunden-Tage
8-Uhr-Vorstellung,f,8-Uhr-Vorstellungen
8-Uhr-Zug,m,8-Uhr-Züge
95 Thesen,,
A,n,A
A-Achse,f,A-Achsen
A-Bombe,f,A-Bomben
A-Dur,n,
A-Dur-Tonleiter,f,A-Dur-Tonleitern
A-Jugend,f,A-Jugenden
A-Jugendliche,f,
A-Saite,f,A-Saiten
A-Säule,f,A-Säulen
A-a,n,
A-cappella-Chor,m,A-cappella-Chöre
ABC,n,
ABC-Buch,n,ABC-Bücher
ABC-Schütze,,
ABC-Staaten,,ABC-Staaten
ABC-Tafel,f,ABC-Tafeln
ABC-Trinker,m,ABC-Trinker
ABC-Waffen,,ABC-Waffen
ABM-Kraft,f,ABM-Kräfte
ACE-Hemmer,,ACE-Hemmer
AD,,
ADHS-Kind,n,ADHS-Kinder
ADV-Vertrag,m,ADV-Verträge
AIDS-Toter,m,
AIZ,f,
ARD,f,
ASCII,m,
ASCII-Code,m,
ASEAN,f,
ASL-Zeichen,n,ASL-Zeichen
ASVG,n,
AStA,m,
AWG,n,
AWG,f,
Aa,f,
Aa,,
Aa,n,
Aa-Lava,f,Aa-Laven
Aab,,
Aach,f,
Aach,,
Aach,,
Aachen,,
Aachen,,
Aachener,m,Aachener
Aachenerin,f,Aachenerinnen
Aad,f,Aaden
Aak,n,Aake
Aake,f,Aaken
Aaken,,
Aakerbeere,f,Aakerbeeren
Aal,m,Aale
Aalbaum,m,Aalbäume
Aalbeere,f,Aalbeeren
Aalbeerstrauch,m,Aalbeersträucher
Aalbestand,m,Aalbestände
Aalborg,,
Aalbricke,f,Aalbricken
Aalburg,,
Aalbutt,m,Aalbutte
Aalderk,,
Aaldorsch,m,Aaldorsche
Aaleidechse,f,Aaleidechsen
Aaleisen,n,Aaleisen
Aalen,,
Aalener,m,Aalener
Aalenium,n,
Aalfang,m,Aalfänge
Aalfett,n,Aalfette
Aalfisch,m,Aalfische
Aalfischer,m,Aalfischer
Aalfischerei,f,Aalfischereien
Aalfrau,f,Aalfrauen
Aalgabel,f,Aalgabeln
Aalhamen,m,Aalhamen
Aalhaut,f,Aalhäute
Aalkasten,m,
Aalkorb,m,Aalkörbe
Aalkrähe,f,Aalkrähen
Aalleiter,f,Aalleitern
Aalmolch,m,Aalmolche
Aalmutter,f,Aalmuttern
Aalmöwe,f,Aalmöwen
Aalnetz,n,Aalnetze
Aalpuppe,f,Aalpuppen
Aalquappe,f,Aalquappen
Aalraupe,f,Aalraupen
Aalreuse,f,Aalreusen
Aalrute,f,Aalruten
Aalrutte,f,Aalrutten
Aalräucherei,f,Aalräuchereien
Aalschlange,f,Aalschlangen
Aalschnur,f,Aalschnüre
Aalsmeer,,
Aalspeer,m,Aalspeere
Aalst,,
Aalst,,
Aalstechen,n,Aalstechen
Aalstreif,m,Aalstreife
Aalstreifen,m,Aalstreifen
Aalstrich,m,Aalstriche
Aalsuppe,f,Aalsuppen
Aaltierchen,n,Aaltierchen
Aaltreppe,f,Aaltreppen
Aalwanderung,f,Aalwanderungen
Aalwehr,n,Aalwehre
Aalwels,m,Aalwelse
Aaners,,
Aap,m,Aapen
Aar,,
Aar,f,
Aarau,,
Aare,f,
Aarestadt,f,Aarestädte
Aargau,m,
Aargauer,m,Aargauer
Aargauerin,f,Aargauerinnen
Aarhus,,
Aaron,,
Aaron,,
Aarskog-Syndrom,n,
Aarweihe,,Aarweihen
Aas,n,
Aas,,
Aasblatter,f,Aasblattern
Aasblume,f,Aasblumen
Aase-Syndrom,n,
Aasee,m,
Aaser,m,Aaser
Aasfliege,f,Aasfliegen
Aasfresser,m,Aasfresser
Aasgeier,m,Aasgeier
Aasgeld,n,Aasgelder
Aasgeruch,m,Aasgerüche
Aasgestank,m,
Aasinsekt,n,Aasinsekten
Aasjagd,f,Aasjagden
Aasjäger,m,Aasjäger
Aasjägerei,f,
Aaskrähe,f,Aaskrähen
Aaskäfer,m,Aaskäfer
Aaspocke,f,Aaspocken
Aasseite,f,Aasseiten
Aast,n,Äster
Aasvogel,m,Aasvögel
Aasvogel,m,Aasvögel
Aba,,Abas
Aba,,
Aba,,
Aba,,
Abaca,m,
Abachi,n,
Abachum,,
Abadan,,
Abaddon,m,
Abade,m,Abades
Abadie-Zeichen,n,Abadie-Zeichen
Abadon,m,
Abagta,,
Abagtha,,
Abaisse,f,Abaissen
Abaka,m,
Abakan,m,
Abakan,,
Abakus,m,
Abakus,,
Abalienation,f,Abalienationen
Abalone,f,Abalonen
Abalone,n,
Abandon,m,Abandons
Abandonnement,n,Abandonnements
Abarbeitung,f,
Abarbeitung,f,Abarbeitungen
Abarbeitungsgeschwindigkeit,f,Abarbeitungsgeschwindigkeiten
Abart,f,Abarten
Abart,,
Abartigkeit,f,Abartigkeiten
Abartung,f,Abartungen
Abasa,,
Abashiri,,
Abasi,,
Abasie,f,Abasien
Abasinisch,,
Abate,m,
Abate,f,Abaten
Abate,,
Abatis,,
Abatjour,m,Abatjours
Abaton,n,Abata
Abbadon,m,
Abbaggerung,f,Abbaggerungen
Abbas,,
Abbaside,m,Abbasiden
Abbate,m,
Abbau,m,Abbaue
Abbauantrag,m,Abbauanträge
Abbaubarkeit,f,
Abbauerscheinung,f,Abbauerscheinungen
Abbaufeld,n,Abbaufelder
Abbaugerechtigkeit,f,Abbaugerechtigkeiten
Abbauintoxikation,f,Abbauintoxikationen
Abbauprodukt,n,Abbauprodukte
Abbauprozess,m,Abbauprozesse
Abbaurecht,n,Abbaurechte
Abbaustelle,f,Abbaustellen
Abbauvermögen,n,
Abbauwürdigkeit,f,
Abbedingung,f,Abbedingungen
Abbeizmittel,n,Abbeizmittel
Abbelkrotze,,Abbelkrotze
Abbenhaus,,
Abbenseth,,
Abberufung,f,Abberufungen
Abberufungsantrag,m,Abberufungsanträge
Abbestellung,f,Abbestellungen
Abbevillien,n,
Abbezahlung,f,Abbezahlungen
Abbiegespur,f,Abbiegespuren
Abbiegung,f,Abbiegungen
Abbild,n,Abbilder
Abbildung,f,Abbildungen
Abbildungsfehler,m,Abbildungsfehler
Abbildungsfreiheit,f,
Abbildungsmaßstab,m,Abbildungsmaßstäbe
Abbindung,f,Abbindungen
Abbink,,
Abbiss,m,Abbisse
Abbitte,f,Abbitten
Abblasedruck,m,Abblasedrücke
Abblaseventil,n,Abblaseventile
Abblasung,f,Abblasungen
Abblasventil,n,Abblasventile
Abblendautomatik,f,
Abblendlicht,n,Abblendlichter
Abblendschalter,m,Abblendschalter
Abbo,,
Abbozzo,m,Abbozzi
Abbrand,m,Abbrände
Abbrandler,m,Abbrandler
Abbrecher,m,Abbrecher
Abbrecherin,f,Abbrecherinnen
Abbreviation,f,Abbreviationen
Abbreviator,m,Abbreviatoren
Abbreviatur,f,Abbreviaturen
Abbruch,m,Abbrüche
Abbrucharbeit,f,Abbrucharbeiten
Abbruchbedingung,f,Abbruchbedingungen
Abbruchbescheid,m,Abbruchbescheide
Abbruchbirne,f,Abbruchbirnen
Abbruchblutung,f,Abbruchblutungen
Abbruchfirma,f,Abbruchfirmen
Abbruchgenehmigung,f,Abbruchgenehmigungen
Abbruchhammer,m,Abbruchhämmer
Abbruchhaus,n,Abbruchhäuser
Abbruchkante,f,Abbruchkanten
Abbruchmaterial,n,Abbruchmaterialien
Abbruchobjekt,n,Abbruchobjekte
Abbruchsieg,m,Abbruchsiege
Abbruchstein,m,Abbruchsteine
Abbruchstelle,f,Abbruchstellen
Abbt,,
Abbuchung,f,Abbuchungen
Abbuchungsauftrag,m,Abbuchungsaufträge
Abbé,m,Abbés
Abbé,,
Abc,n,Abc
Abc-Buch,n,Abc-Bücher
Abc-Code,m,
Abc-Kode,m,
Abc-Schütze,m,Abc-Schützen
Abc-Schützin,f,Abc-Schützinnen
Abcdarier,m,Abcdarier
Abcdarium,n,Abcdarien
Abcdarius,m,Abcdarii
Abchase,m,Abchasen
Abchasien,,
Abchasin,f,Abchasinnen
Abchasisch,,
Abciximab,n,
Abda,,
Abdach,n,Abdächer
Abdampf,m,Abdämpfe
Abdampfen,n,
Abdankung,f,Abdankungen
Abdeck-Aufdecktest,m,Abdeck-Aufdecktests
Abdeckband,n,Abdeckbänder
Abdeckblech,n,Abdeckbleche
Abdeckcreme,f,
Abdecker,m,Abdecker
Abdeckerei,f,Abdeckereien
Abdeckerin,f,Abdeckerinnen
Abdeckfarbe,f,Abdeckfarben
Abdeckmaterial,n,Abdeckmaterialien
Abdeckplane,f,Abdeckplanen
Abdeckplatte,f,Abdeckplatten
Abdecktest,m,Abdecktests
Abdeckung,f,Abdeckungen
Abdeel,,
Abderhalden,,
Abderit,m,Abderiten
Abdestillation,f,Abdestillationen
Abdi,,
Abdichtung,f,Abdichtungen
Abdikation,f,Abdikationen
Abdingbarkeit,f,
Abdisposition,f,Abdispositionen
Abditorium,n,Abditorien
Abdiël,,
Abdomen,n,
Abdominalgravidität,f,Abdominalgraviditäten
Abdominalhernie,f,Abdominalhernien
Abdominoskopie,f,Abdominoskopien
Abdon,,
Abdrehen,n,
Abdrift,f,Abdriften
Abdruck,m,
Abducens,m,
Abduktion,f,Abduktionen
Abduktor,m,Abduktoren
Abduzens,m,
Abduzenslähmung,f,Abduzenslähmungen
Abece,n,
Abecebuch,n,Abecebücher
Abecedarier,m,Abecedarier
Abecedarium,n,Abecedarien
Abecedarius,m,Abecedarii
Abednego,,
Abee,,Abees
Abel,,
Abel,,
Abele,,
Abelespiele,,Abelespiele
Abelie,f,Abelien
Abelmoschus,m,Abelmoschusse
Abenaki,m,Abenakis
Abenaki,n,
Abenberg,,
Abend,m,Abende
Abend,,
Abend,,
Abendakademie,f,Abendakademien
Abendandacht,f,Abendandachten
Abendanfrage,f,Abendanfragen
Abendanzug,m,Abendanzüge
Abendausgabe,f,Abendausgaben
Abendblatt,n,Abendblätter
Abendbrot,n,Abendbrote
Abendbrottisch,m,Abendbrottische
Abendbrotzeit,f,Abendbrotzeiten
Abendbummel,m,Abendbummel
Abenddämmerung,f,Abenddämmerungen
Abendempfang,m,Abendempfänge
Abendessen,n,Abendessen
Abendfriede,m,
Abendfrieden,m,
Abendgarderobe,f,Abendgarderoben
Abendgebet,n,Abendgebete
Abendgesellschaft,f,Abendgesellschaften
Abendgottesdienst,m,Abendgottesdienste
Abendgymnasium,n,Abendgymnasien
Abendhimmel,m,Abendhimmel
Abendkasse,f,Abendkassen
Abendkleid,n,Abendkleider
Abendkurs,m,Abendkurse
Abendland,n,
Abendlicht,n,
Abendlied,n,Abendlieder
Abendluft,f,
Abendmahl,n,Abendmahle
Abendmahlsfeier,f,Abendmahlsfeiern
Abendmahlsgemeinschaft,f,Abendmahlsgemeinschaften
Abendmahlsspiel,n,Abendmahlsspiele
Abendmahlsstreit,m,
Abendmahlswein,m,Abendmahlsweine
Abendmahlzeit,f,Abendmahlzeiten
Abendmesse,f,Abendmessen
Abendmusik,f,Abendmusiken
Abendnachrichten,,Abendnachrichten
Abendnebel,m,Abendnebel
Abendprogramm,n,Abendprogramme
Abendpunkt,m,Abendpunkte
Abendrot,n,
Abendröte,f,
Abendschule,f,Abendschulen
Abendshow,f,Abendshows
Abendsonne,f,
Abendstern,m,
Abendstunde,f,Abendstunden
Abendstück,n,Abendstücke
Abendtafel,f,Abendtafeln
Abendthermik,f,
Abendunterhaltung,f,Abendunterhaltungen
Abendunterricht,m,Abendunterrichte
Abendveranstaltung,f,Abendveranstaltungen
Abendvorstellung,f,Abendvorstellungen
Abendweite,f,Abendweiten
Abendzeit,f,Abendzeiten
Abendzeitung,f,Abendzeitungen
Abendzug,m,Abendzüge
Abens,f,
Abensberg,,
Abenteuer,n,Abenteuer
Abenteuerbuch,n,Abenteuerbücher
Abenteuerfilm,m,Abenteuerfilme
Abenteuergeschichte,f,Abenteuergeschichten
Abenteuerin,f,Abenteuerinnen
Abenteuerliteratur,f,
Abenteuerlust,f,
Abenteuerroman,m,Abenteuerromane
Abenteuerspiel,n,Abenteuerspiele
Abenteuerspielplatz,m,Abenteuerspielplätze
Abenteuerurlaub,m,Abenteuerurlaube
Abenteurer,m,Abenteurer
Abenteurerin,f,Abenteurerinnen
Aber,n,
Aberchen,n,Aberchen
Aberdeen,,
Aberdeenrind,n,Aberdeenrinder
Aberdepot,n,Aberdepots
Aberglaube,m,
Aberglauben,m,
Aberkennung,f,Aberkennungen
Aberle,,
Aberlin,,
Aberlin,,
Abermillionen,,Abermillionen
Aberratio,f,Aberrationes
Aberratio testis,f,Aberrationes testis
Aberration,f,Aberrationen
Aberrationskonstante,f,Aberrationskonstanten
Aberrationszeit,f,Aberrationszeiten
Aberraute,f,Aberrauten
Aberrometer,n,Aberrometer
Aberwitz,m,
Abessinien,,
Abessinien,n,
Abessinier,m,Abessinier
Abessinierbrunnen,m,Abessinierbrunnen
Abessinierin,f,Abessinierinnen
Abessinierkatze,f,Abessinierkatzen
Abessiv,m,Abessive
Abfahrer,m,Abfahrer
Abfahrerin,f,Abfahrerinnen
Abfahrt,f,Abfahrten
Abfahrtgleis,n,Abfahrtgleise
Abfahrtsgleis,n,Abfahrtsgleise
Abfahrtshang,m,Abfahrtshänge
Abfahrtslauf,m,Abfahrtsläufe
Abfahrtsläufer,m,Abfahrtsläufer
Abfahrtsläuferin,f,Abfahrtsläuferinnen
Abfahrtspiste,f,Abfahrtspisten
Abfahrtsplan,m,Abfahrtspläne
Abfahrtssieg,m,Abfahrtssiege
Abfahrtssieger,m,Abfahrtssieger
Abfahrtssiegerin,f,Abfahrtssiegerinnen
Abfahrtsski,m,
Abfahrtstafel,f,Abfahrtstafeln
Abfahrtsweltmeister,m,Abfahrtsweltmeister
Abfahrtsweltmeisterin,f,Abfahrtsweltmeisterinnen
Abfahrtszeit,f,Abfahrtszeiten
Abfall,m,Abfälle
Abfallart,f,Abfallarten
Abfallbeauftragter,m,
Abfallbehälter,m,Abfallbehälter
Abfalleimer,m,Abfalleimer
Abfallentsorgung,f,
Abfallexport,m,Abfallexporte
Abfallgeruch,m,Abfallgerüche
Abfallkatalog,m,Abfallkataloge
Abfallmenge,f,Abfallmengen
Abfallprodukt,n,Abfallprodukte
Abfallraum,m,Abfallräume
Abfallsortieranlage,f,Abfallsortieranlagen
Abfallsortierung,f,Abfallsortierungen
Abfalltransport,m,Abfalltransporte
Abfallverbrennung,f,Abfallverbrennungen
Abfallverbringung,f,Abfallverbringungen
Abfallverzeichnis,n,Abfallverzeichnisse
Abfallwirtschaft,f,Abfallwirtschaften
Abfallwirtschaftsbetrieb,m,Abfallwirtschaftsbetriebe
Abfangbahn,f,Abfangbahnen
Abfangen,n,
Abfangjäger,m,Abfangjäger
Abfangsatellit,m,Abfangsatelliten
Abfasung,f,Abfasungen
Abfederung,f,Abfederungen
Abfertigung,f,Abfertigungen
Abfertigungsbaracke,f,Abfertigungsbaracken
Abfertigungsbeamter,m,
Abfett,n,Abfette
Abfiltrieren,n,
Abfindung,f,Abfindungen
Abflug,m,Abflüge
Abflughafen,m,Abflughäfen
Abflugtag,m,Abflugtage
Abflugzeit,f,Abflugzeiten
Abfluss,m,Abflüsse
Abflussrinne,f,Abflussrinnen
Abflussrohr,n,Abflussrohre
Abfolge,f,Abfolgen
Abfrage,f,Abfragen
Abfragesprache,f,Abfragesprachen
Abfressen,n,
Abfuhr,f,Abfuhren
Abführmittel,n,Abführmittel
Abführungszeichen,n,Abführungszeichen
Abfüllerangabe,f,Abfüllerangaben
Abgabe,f,Abgaben
Abgabefrist,f,Abgabefristen
Abgabestelle,f,Abgabestellen
Abgabetermin,m,Abgabetermine
Abgabezug,m,Abgabezüge
Abgang,m,Abgänge
Abgangszeugnis,n,Abgangszeugnisse
Abgas,n,Abgase
Abgasanalysator,m,Abgasanalysatoren
Abgasemission,f,Abgasemissionen
Abgasimmission,f,Abgasimmissionen
Abgasnorm,f,Abgasnormen
Abgasreinigung,f,Abgasreinigungen
Abgassystem,n,Abgassysteme
Abgastest,m,Abgastests
Abgeber,m,Abgeber
Abgeklärtheit,f,
Abgelehntes Damengambit,n,
Abgeltungssteuer,f,Abgeltungssteuern
Abgeltungsteuer,f,Abgeltungsteuern
Abgeordnete,f,
Abgeordnetenbestechung,f,Abgeordnetenbestechungen
Abgeordnetenhaus,n,Abgeordnetenhäuser
Abgeordneter,m,
Abgereche,n,
Abgesang,m,Abgesänge
Abgeschiedener,m,
Abglanz,m,
Abglitt,m,Abglitte
Abgott,m,Abgötter
Abgottschlange,f,Abgottschlangen
Abgrabung,f,Abgrabungen
Abgrenzung,f,Abgrenzungen
Abgrenzungsversuch,m,Abgrenzungsversuche
Abgrund,m,Abgründe
Abgrusung,f,Abgrusungen
Abgunst,f,
Abguss,m,Abgüsse
Abgängigkeitsanzeige,f,Abgängigkeitsanzeigen
Abgängsel,n,Abgängsel
Abgötterei,f,Abgöttereien
Abhandlung,f,Abhandlungen
Abhang,m,Abhänge
Abhebung,f,Abhebungen
Abhilfe,f,Abhilfen
Abholfach,n,Abholfächer
Abholzung,f,Abholzungen
Abhängigkeit,f,Abhängigkeiten
Abhängigkeitsgrammatik,f,Abhängigkeitsgrammatiken
Abhärtung,f,Abhärtungen
Abhöraffäre,f,Abhöraffären
Abhöraktion,f,Abhöraktionen
Abhörmaßnahme,f,Abhörmaßnahmen
Abhörskandal,m,Abhörskandale
Abi,n,Abis
Abi,m,
Abia,,
Abialbon,,
Abiam,,
Abiasaf,,
Abiasaph,,
Abiball,m,Abibälle
Abidjan,,
"Abieta-7,14-dien-19-carbonsäure",f,
Abietinsäure,f,
Abigail,,
Abilo,,
Abiogenese,f,
Abiogenesis,f,
Abiologie,f,
Abiose,f,
Abiosis,f,
Abiotrophie,f,Abiotrophien
Abireise,f,Abireisen
Abisolierzange,f,Abisolierzangen
Abistress,m,
Abitur,n,Abiture
Abiturient,m,Abiturienten
Abiturientia,f,Abiturientien
Abiturientin,f,Abiturientinnen
Abiturium,n,Abiturien
Abiturzeugnis,n,Abiturzeugnisse
Abjudikation,f,Abjudikationen
Abjuration,f,Abjurationen
Abkehr,f,
Abkehrschein,m,Abkehrscheine
Abklatsch,m,Abklatsche
Abklingbecken,n,Abklingbecken
Abkomme,m,Abkommen
Abkommen,n,Abkommen
Abkunft,f,
Abkömmling,m,Abkömmlinge
Abkühlung,f,Abkühlungen
