Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
lieben,liebe,liebst,liebt,liebte,geliebt,liebte,liebe,liebt,hat
klieben,kliebe,kliebst,kliebt,klob,gekloben,klöbe,kliebe,kliebt,hat
belfern,belfere,belferst,belfert,belferte,gebelfert,belferte,belfere,belfert,hat
chatten,chatte,chattest,chattet,chattete,gechattet,chattete,chatte,chattet,hat
wissen,weiß,weißt,weiß,wusste,gewusst,wüsste,wisse,wisset,hat
schnabulieren,schnabuliere,schnabulierst,schnabuliert,schnabulierte,schnabuliert,schnabulierte,schnabulier,schnabuliert,hat
brechen,breche,brichst,bricht,brach,gebrochen,bräche,brich,brecht,hat
abbrechen,breche ab,brichst ab,bricht ab,brach ab,abgebrochen,bräche ab,brich ab,brecht ab,hat
anbrechen,breche an,brichst an,bricht an,brach an,angebrochen,bräche an,brich an,brecht an,hat
aufbrechen,breche auf,brichst auf,bricht auf,brach auf,aufgebrochen,bräche auf,brich auf,brecht auf,ist
ausbrechen,breche aus,brichst aus,bricht aus,brach aus,ausgebrochen,bräche aus,brich aus,brecht aus,hat
einbrechen,breche ein,brichst ein,bricht ein,brach ein,eingebrochen,bräche ein,brich ein,brecht ein,ist
verbrechen,verbreche,verbrichst,verbricht,verbrach,verbrochen,verbräche,verbrich,verbrecht,hat
zerbrechen,zerbreche,zerbrichst,zerbricht,zerbrach,zerbrochen,zerbräche,zerbrich,zerbrecht,hat
büffeln,büffele,büffelst,büffelt,büffelte,gebüffelt,büffelte,büffele,büffelt,hat
oktroyieren,oktroyiere,oktroyierst,oktroyiert,oktroyierte,oktroyiert,oktroyierte,oktroyier,oktroyiert,hat
winken,winke,winkst,winkt,winkte,gewinkt,winkte,winke,winkt,hat
machen,mache,machst,macht,machte,gemacht,machte,mache,macht,hat
schmeißen,schmeiße,schmeißt,schmeißt,schmiss,geschmissen,schmisse,schmeiß,schmeißt,hat
besinnen,besinne,besinnst,besinnt,besann,besonnen,besänne,besinn,besinnt,hat
untersuchen,untersuche,untersuchst,untersucht,untersuchte,untersucht,untersuchte,untersuche,untersucht,hat
kaufen,kaufe,kaufst,kauft,kaufte,gekauft,kaufte,kauf,kauft,hat
wohnen,wohne,wohnst,wohnt,wohnte,gewohnt,wohnte,wohne,wohnt,hat
sehen,sehe,siehst,sieht,sah,gesehen,sähe,siehe,seht,hat
aalen,aale,aalst,aalt,aalte,geaalt,aalte,aal,aalt,hat
essen,esse,isst,isst,aß,gegessen,äße,iss,esst,hat
trinken,trinke,trinkst,trinkt,trank,getrunken,tränke,trink,trinkt,hat
gehen,gehe,gehst,geht,ging,gegangen,ginge,geh,geht,ist
wandeln,wandle,wandelst,wandelt,wandelte,gewandelt,wandelte,wandle,wandelt,ist
lecken,lecke,leckst,leckt,leckte,geleckt,leckte,lecke,leckt,hat
ficken,ficke,fickst,fickt,fickte,gefickt,fickte,ficke,fickt,hat
intendieren,intendiere,intendierst,intendiert,intendierte,intendiert,intendierte,intendiere,intendiert,hat
kochen,koche,kochst,kocht,kochte,gekocht,kochte,koch,kocht,hat
kiffen,kiffe,kiffst,kifft,kiffte,gekifft,kiffte,kiffe,kifft,hat
sprechen,spreche,sprichst,spricht,sprach,gesprochen,spräche,sprich,sprecht,hat
delegieren,delegiere,delegierst,delegiert,delegierte,delegiert,delegierte,delegiere,delegiert,hat
